project,training_mode,size,run_id,run_name,state,url,step,timestamp,runtime,train_loss,val_loss
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22900,1762445273.7283297,5366.131301641464,0.8974254727363586,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,22950,1762445284.7545888,5377.157560825348,0.9001407623291016,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23000,1762445296.2797732,5388.682745218277,0.891411304473877,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23040,1762445305.2933059,5397.696277856827,,1.2163243194642699
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23050,1762445309.469081,5401.872052907944,0.8867766261100769,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23100,1762445321.271051,5413.674022912979,0.8602732419967651,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23150,1762445332.7757747,5425.178746700287,0.8718507885932922,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23200,1762445344.1870625,5436.590034484863,0.8836126923561096,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23250,1762445355.7015097,5448.1044816970825,0.9101607203483582,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23300,1762445367.6724153,5460.075387239456,0.8836497664451599,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23350,1762445379.2244072,5471.627379179001,0.8910525441169739,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23400,1762445391.6176562,5484.020628213882,0.9008995294570923,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23450,1762445403.122933,5495.525904893875,0.8825715780258179,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23500,1762445413.9514527,5506.354424715042,0.8655850291252136,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23550,1762445425.5842373,5517.987209320068,0.8580067753791809,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23600,1762445437.1186342,5529.521606206894,0.8798567056655884,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23650,1762445448.4433014,5540.846273422241,0.8759875297546387,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23680,1762445455.088894,5547.491865873337,,1.2098560848843563
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23700,1762445461.6889825,5554.091954469681,0.8801267743110657,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23750,1762445473.1479,5565.550872087479,0.8605414032936096,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23800,1762445484.0924296,5576.495401620865,0.8626940250396729,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23850,1762445494.9964502,5587.399422168732,0.8461336493492126,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23900,1762445506.4333603,5598.836332321167,0.8401352763175964,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,23950,1762445517.6849205,5610.087892532349,0.8864984512329102,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24000,1762445529.9468787,5622.349850654602,0.872449517250061,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24050,1762445541.7588532,5634.161825180054,0.8817651867866516,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24100,1762445553.7213445,5646.124316453934,0.8743690252304077,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24150,1762445565.2827914,5657.68576335907,0.8990617394447327,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24200,1762445576.5938828,5668.9968547821045,0.8493959307670593,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24250,1762445587.623759,5680.026731014252,0.8818771839141846,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24300,1762445598.5976992,5691.0006711483,0.8829758763313293,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24320,1762445602.656222,5695.059194087982,,1.2148629824178674
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24350,1762445611.1874034,5703.590375423431,0.8818240761756897,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24400,1762445622.7302053,5715.133177280426,0.8417423367500305,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24450,1762445634.3236897,5726.726661682129,0.8937351703643799,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24500,1762445646.243832,5738.646804094315,0.8777757883071899,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24550,1762445657.7299016,5750.132873535156,0.8890021443367004,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24600,1762445668.9807718,5761.38374376297,0.8573556542396545,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24650,1762445680.6230965,5773.02606844902,0.8487867712974548,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24700,1762445692.7155044,5785.118476390839,0.8512338995933533,
cellarc100k_50e_embedding_large,embedding,large,5k2a3d4o,rnn_large_embedding,finished,https://wandb.ai/lzicar/cellarc100k_50e_embedding_large/runs/5k2a3d4o,24750,1762445705.0950506,5797.498022556305,0.8681661486625671,
